,user_id,reviews_username
0,1,joshua
100,3,rebecca
260,5,samantha
340,7,kimmie
400,8,cassie
460,13,nicole
540,25,karen
640,26,warren
680,31,michelle
760,35,danielle
900,42,solo
960,45,momof2
1060,73,ladyjenn
1068,75,marsh
1106,115,dada
1146,125,ammi
1186,126,lynn63
1226,127,jayjay
1326,172,chucky
1366,532,sidney
1406,594,judy
1486,636,jennifer
1586,675,mountainman
1646,676,rick
1946,681,george
2066,682,laura
2286,688,jill
2406,692,mj
2466,698,rosie
2566,701,doug
2626,710,disappointed
2726,722,val
2766,726,fred
2826,750,jewels
2886,755,shell
2966,769,mitzi
3006,775,paula
3086,794,deb
3186,796,brandon
3326,801,sandra
3406,810,mindy
3446,814,matt
3686,847,marty
3766,855,chris
4406,865,linda
4586,881,bobbi
4626,886,sandi
4726,899,jody
4806,906,sandy
5106,912,jazz
5146,916,nick
5306,924,kim
5406,929,bob
5486,931,bill
5586,939,tony
5886,973,lisa
6166,984,megan
6246,1002,none
6346,1018,bearyshopper2
6386,1062,faith
6426,1103,mary
6626,1123,jenni
6686,1125,bobby
6826,1126,happy
6986,1132,winniepoo2
7026,1137,janice
7106,1164,cleo
7166,1175,cindy
7386,1189,chrissy
7546,1213,meredith
7606,1221,susan
7726,1229,beverly
7806,1237,oreo
7846,1241,angel
8006,1244,mike
8826,1249,bailee
8886,1255,lindas
8922,1266,patty
9082,1295,brandy33
9120,1300,helen
9200,1319,danny
9300,1322,amber
9400,1354,abby
9460,1358,tomi
9500,1371,cber
9540,1384,julie
9660,1389,mark
9880,1391,kimberly
9960,1395,ernest
10000,1396,michael
10180,1398,ronald
10240,1400,lynn
10320,1403,lori
10440,1414,shelly
10540,1418,trix
10600,1453,alexis
10700,1491,rubia
10740,1493,maximus
10780,1519,movienut
10820,1524,kong
10880,1533,charles
10980,1534,john
11240,1536,squeak
11300,1545,raindq
11360,1563,shopper
11440,1593,renee
11520,1596,casey
11560,1621,momof3
11700,1623,ghost
11780,1627,jimr
11820,1659,kitty
11880,1674,russ
11920,1692,mamagia
11960,1695,missy
12120,1697,memyself2
12160,1700,larry
12220,1710,tampa
12260,1714,steve
12460,1717,00sab00
12500,1720,mario19
12540,1721,sharkofcanalstrt
12580,1727,heather
12680,1731,edgar
12720,1732,btechthor
12760,1734,unnamed
12800,1745,james
13040,1748,moviegoer
13100,1755,scott
13320,1757,drabo
13360,1765,christina
13420,1769,brian
13620,1770,sj95123
13660,1773,scb91
13700,1782,anthony
13760,1785,alex
13940,1798,person
13980,1803,buyer123
14020,1807,techie
14060,1810,sunny1
14100,1819,mudcat75979
14160,1825,eddie
14200,1830,woody
14280,1832,jimmy
14380,1841,daredevil
14420,1844,faceman69
14480,1848,moerena
14520,1857,jojo
14780,1863,bigdaddy
14860,1870,theoslithos
14900,1875,dadof2b1g
14940,1887,batmanny
14980,1896,sean
15020,1899,emerald
15080,1912,superman
15140,1923,jason
15240,1927,mugs
15280,1930,jimbo
15420,1942,amy1
15460,1958,marcus
15520,1963,peanut
15660,1964,doreen
15700,1967,david
15880,1978,ashley
15960,1979,richy
16020,1982,gamer
16080,1984,cdavadi
16140,1985,steph
16260,1989,musicgal14
16300,2002,jackie
16380,2003,charlie
16580,2008,truth
16640,2010,aaron
16740,2015,walt
16800,2018,bucket
16840,2034,hutch69
16900,2036,movielover
17140,2044,luvmovies
17180,2045,chas
17260,2053,foxy
17320,2056,dave
17580,2069,vicki
17700,2076,mikey
17820,2078,ryan
17920,2079,tina
18060,2081,junior
18140,2090,robflutie
18200,2097,1234
18280,2108,harley
18340,2114,champ
18380,2115,toddster7
18420,2121,nate
18560,2123,dreamer79
18600,2135,gary
18700,2136,shannon
18760,2141,angie
18940,2146,datmanvell
18980,2158,sheila
19060,2159,fluffy
19120,2165,joel
19200,2178,bluebox
19240,2208,kyle
19340,2214,george08
19400,2219,zitro
19440,2225,jess
19560,2226,bobo
19600,2229,jssmith
19700,2239,raul
19780,2257,josh
19900,2263,dani
19960,2265,kdawg
20000,2270,lovebestbuy
20040,2274,woowoo
20080,2280,thatguy
20160,2282,jake
20280,2283,bruce
20340,2294,happycamper
20380,2295,grace
20460,2312,bestbuyfan
20500,2314,sassy
20580,2335,keith
20660,2347,drew
20760,2360,jacob
20800,2372,coco
20880,2378,vickie
20960,2402,annie
21080,2410,animallover
21120,2414,frances
21160,2420,jessie
21240,2429,kiko
21280,2430,whome
21320,2440,diver13
21360,2446,jbasa
21400,2451,terri
21460,2460,suzanne
21520,2462,floyd
21580,2476,mimi
21760,2481,thequeen
21800,2485,jack
21860,2498,ds2014
21900,2513,kimmi
21940,2516,gagym
21980,2526,cougar
22040,2528,mikasa1
22080,2531,bigd
22120,2546,scampertim
22160,2566,kris
22260,2598,jeff
22440,2620,aimee
22480,2623,diane
22600,2641,gina
22740,2653,moviefan
22860,2656,sparky
22940,2665,frank
23080,2692,nana
23180,2714,gigi
23260,2738,ronnie
23320,2758,chief
23360,2768,todd
23480,2808,sissy
23560,2822,mrpibb25
23600,2845,jonathan
23680,2871,katie
23740,2885,rena
23780,2904,maggie
23840,2917,jenn
24040,2923,meme
24120,2925,rusty
24200,2928,techgeek
24240,2933,busymom
24300,2935,snoopy
24360,2980,gatorbobert
24400,2998,jane
24520,3036,robby
24600,3049,anne
24720,3191,april
24820,3197,suzyq
24880,3199,c
24895,3215,tammy
24995,3220,mich
25025,3224,jerry
25085,3230,spunky
25165,3232,sharon
25305,3271,awesome
25405,3295,nicknack
25445,3316,acg1
25485,3340,sammy
25585,3363,randy
25645,3397,donna
25825,3413,victoria
25865,3431,wonderwoman
25905,3432,cami
25965,3433,jjjj
26005,3436,redhead
26065,3446,pammy
26125,3450,ronda
26205,3461,debc
26245,3466,rocky
26345,3478,wendy
26465,3504,zippy
26525,3509,pamela
26565,3519,lindsay
26605,3532,sunflower
26665,3539,margaret
26705,3541,bb
26745,3543,dale
26805,3545,tess
26845,3565,shawn
26885,3572,irish
26925,3613,corinne
26965,3619,tami
27005,3634,michele
27105,3659,patti
27185,3672,debi
27245,3711,jr
27285,3715,adam
27425,3732,phil
27525,3748,star
27585,3750,higgy
27630,3755,king
27690,3760,kristyn
27730,3789,patl
27770,3808,maureen
27870,3811,jan
27930,3827,megs
27970,3865,brad
28030,3866,andy
28150,3917,momofthree
28230,3982,mack
28330,4057,bubba
28410,4075,sarah
28490,4092,char
28550,4094,nanc
28670,4103,melissa
28770,4126,guznnar
28810,4159,thomas
29030,4177,worm
29070,4197,thatoneguy
29130,4206,jdawg
29170,4208,joshr
29210,4232,fashionbomb
29250,4262,stephanie
29290,4266,anon
29330,4270,moviebuff
29430,4278,kathy
29550,4288,esther
29590,4294,scotty
29650,4305,daddypanda00
29690,4334,want297z
29730,4387,pupsi
29770,4397,manny
29870,4421,mine
29910,4431,movieguy
30010,4434,trav
30050,4490,panda
30090,4498,robert
30250,4502,r1234
30290,4510,ripper
30330,4524,thai
30390,4526,eric
30510,4528,jeremy
30570,4541,val214
30610,4559,spyguy
30650,4560,pete
30690,4575,radicxs2
30750,4582,amazing
30830,4596,robb
30870,4598,libby
30930,4614,wally
31010,4619,nativethoughts
31050,4625,momma
31190,4653,matty
31250,4695,joey
31390,4711,carrie
31470,4714,phoenixablaze
31510,4716,bob1
31550,4730,macdaddy
31610,4753,barra2
31650,4824,reese
31690,4830,cole
31750,4908,movie
31790,4913,livfrerdihard
31830,4922,ralph
31890,4958,stacy
31970,4964,mikal
32010,4967,jmoney
32050,4994,cool
32170,5007,viewer
32250,5014,swimmer2005
32310,5017,barb
32370,5043,lulu
32430,5074,bigb
32490,5098,golfer4
32530,5111,movie101
32570,5134,aktcharlotte
32610,5158,debb
32690,5165,greatoned
32730,5167,joeb
32770,5180,evrydayhustla420
32810,5208,luke
32870,5213,onthego
32910,5216,jclark481
32950,5368,gloria
32990,5400,darkoniv
33030,5429,steveo
33090,5434,lusient
33130,5446,movieguru
33190,5473,mamas
33230,5474,marti
33270,5488,andi
33330,5510,mama
33410,5512,jeanne
33470,5513,trina
33530,5551,maxie
33570,5559,joem
33630,5644,slouchycowman
33670,5661,katb
33730,5669,wvshopaholic
33770,5673,no nickname
33830,5675,roxy
33950,5677,nanny
33990,5692,jennie
34030,5693,nanna
34110,5698,kimi
34150,5705,toots
34190,5758,pookie
34230,5759,bella
34270,5766,connie
34350,5806,baker
34430,5809,riri
34470,5826,cass
34550,5955,kathryn
34590,6116,jujubee
34650,6282,madi
34690,6283,vanessavast
34730,6461,lania
34770,6544,zmom
34810,6549,ayterrazas
34870,6576,moondog123
34930,6607,mima
34962,6659,sup3rmom
35022,6680,minion
35062,6770,pooh
35102,6777,erin
35202,6883,grams
35242,6888,brandy
35302,7373,holly15
35402,7602,leslie316
35482,8318,supergirl
35562,8404,kimb
35602,8660,paige
35682,9045,mikeh
35762,9183,tyler
35802,9327,izzy
35902,9422,hazel
36002,9723,darcy
36042,9784,kristine
36082,10039,cynthia
36122,10310,rachael
36202,10639,thom
36262,10989,simo
36302,11398,angela
36362,11703,sam1
36422,12098,juice
36462,12204,marjeff
36522,12256,staci
36602,12421,monk
36642,12630,court
36702,12774,fred23
36742,12997,bblack
36802,13294,wizard
36862,13402,debd
36902,13488,island girl
36982,13494,cat
37012,13547,1943
37072,13691,deda
37112,13720,karen1
37172,13760,mrspdosborne
37204,13776,tara
37284,13794,allie
37324,13797,grandma
37424,13813,kitkat
37464,13832,momof4
37524,13848,puck
37564,13867,breezy
37604,13880,kate
37704,13888,julia
37744,13907,reggie
37784,13914,jenny
37864,13920,twin
37904,13935,shopsalot505
37944,14017,loulou
37984,14072,hoppy
38010,14182,katkat
38050,14186,susan1
38110,14234,bbshopper
38150,14281,lucy
38190,14287,nami
38250,14291,jilly
38310,14897,cowboy
38410,14938,jimvil
38450,14951,sonny
38490,14981,dharmiso
38530,15036,byamazon customer
39022,15474,cookie
39062,15556,boomer
39102,15590,victor
39162,15605,pierre
39202,15677,bean
39262,15680,wolverine
39302,15718,jen
39332,15750,elizabeth
39372,15759,bert
39432,15768,chuck
39552,15785,andrea
39692,15821,denise
39732,15877,dora
39772,15879,mason
39812,15969,mamabear
39852,16090,kaye
39912,16106,kevman79
39992,16128,taco99
40032,16137,medictaz
40072,16148,myreview
40112,16170,countprice
40152,16188,ermak23
40192,16331,lauren
40252,16342,patricia
40312,16353,blondie
40357,16359,kiki
40417,16371,kurt
40457,16377,daysi
40497,16532,bigdog
40537,16540,marisa
40577,16591,abbey
40617,17163,gabi
40657,17436,mommy2
40697,17475,joan
40757,17685,xavier
40817,17700,danl
40857,17738,calicutie
40897,17751,chips
40957,17847,cookiemonster
40997,17911,henry
41037,17924,zach
41077,18067,bryan
41137,18157,stacey
41217,18212,mrss
41257,18228,tony1
41317,18311,dennis
41357,18363,caroline
41397,18551,batman
41457,18602,hfdlt13
41497,18646,critiquethis
41537,18707,princess
41617,18717,pepper
41697,18742,ruby
41777,18760,brittany
41837,18797,skeeter
41897,19031,primoconcept
41957,19125,okie
41997,19201,gtech
42037,19304,paul
42137,19318,mr301
42177,19404,trish
42217,19476,coronadad
42257,19527,raymond
42297,19694,catfan
42337,19712,nelz214
42377,19806,jz91345
42417,19884,joanngr22
42457,19928,moviewatcher
42497,20149,shadow
42577,20168,sheilakathleen
42617,20204,pcmobile
42657,20282,asaump
42697,20297,savantinsd
42737,20364,lance
42797,20483,bestbuyer
42857,20530,sjt23
42897,21260,joe1f
42937,21308,djx1977
42977,21326,venus24
43017,21391,kaito05
43057,21477,lostpuppy2
43097,21537,great
43137,21581,emily
43217,21593,turtle
43277,21841,windowkitty
43301,21982,newbie
43341,22007,phantom
43381,22348,dimer
43421,22388,fitbit
